"lat","lon","end_station_id","count"
42.38042947,-71.06055722,358,2842
42.37207658,-71.08995434,437,2839
42.38170676,-71.08377187,329,2689
42.38762811,-71.08318716,235,2687
42.32143814,-71.09126061,197,2643
42.34303291,-71.0668873,412,2635
42.39108438,-71.09039426,188,2634
42.369536,-71.039431,213,2611
42.31787329,-71.08243078,196,2552
42.34734473,-71.10016808,400,2538
42.33978053,-71.1213335,403,2501
42.35057,-71.166491,208,2494
42.38952436,-71.1169414,409,2479
42.3121203,-71.1142981,357,2384
42.37331213,-71.04102008,219,2318
42.300923,-71.114249,273,2283
42.3334,-71.02495,296,2253
42.306539,-71.107669,279,2233
42.36435589,-71.06959369,416,2139
42.3951715,-71.09850592,234,2079
42.37535497,-71.03133336,214,2068
42.34474225,-71.07648162,417,2061
42.33554308,-71.1506152,346,1903
42.34286835,-71.14127841,354,1901
42.3294633,-71.0901582,360,1761
42.38393225,-71.13961272,367,1747
42.370744,-71.044201,215,1691
42.30785224,-71.06512249,205,1650
42.31869734,-71.06978148,199,1533
42.316902,-71.091946,201,1521
42.38078817,-71.15412891,371,1447
42.33209606,-71.12845883,191,1416
42.325333,-71.075354,106,1371
42.34960945,-71.10391524,446,1328
42.34024645,-71.15168806,344,1328
42.38717463,-71.08714389,408,1182
42.324081,-71.083235,204,1120
42.386781,-71.006098,217,1104
42.3936,-71.143941,319,1090
42.34854543,-71.06559185,399,1082
42.33833424,-71.1305093,402,1051
42.35276621,-71.15988486,351,1027
42.3991826,-71.11104455,101,1026
42.32784317,-71.12536222,187,975
42.309572,-71.0729,203,911
42.303469,-71.085347,170,897
42.30791,-71.080952,202,839
42.379772,-71.027448,209,784
42.309796,-71.092225,162,783
42.39648358,-71.0654676,390,781
42.2996667,-71.0605833,260,755
42.38353252,-71.01619095,210,746
42.3983606,-71.06373843,397,684
42.287072,-71.127754,337,672
42.36178741,-71.14393111,428,636
42.32039374,-71.05355408,405,578
42.38240378,-71.03024304,216,561
42.39790817,-71.14797131,414,535
42.39189812,-71.09745376,406,526
42.32538436,-71.12177596,401,503
42.38830554,-71.11067977,407,488
42.28630716,-71.12820532,341,468
42.2856944,-71.0641389,271,434
42.28297568,-71.05466698,258,406
42.29266593,-71.12119539,339,404
42.30412793,-71.07929528,232,383
42.38522394,-71.01063069,355,348
42.40725945,-71.05546381,389,333
42.2873611,-71.071111,350,329
42.37544913,-71.03918549,419,325
42.30604563,-71.11570891,424,280
42.292917,-71.06575,272,263
42.28634589,-71.1367213,373,257
42.38445226,-71.07514855,441,242
42.39329263,-71.0724476,391,239
42.35656092,-71.14167538,440,237
42.40933007,-71.06381878,396,212
42.267902,-71.093641,336,211
42.290333,-71.071806,349,206
42.2945833,-71.087111,348,206
42.40615157,-71.06040745,388,194
42.31930943,-71.09639924,425,188
42.29175622,-71.0625918,411,180
42.33286288,-71.09218862,443,178
42.41143223,-71.06823265,387,172
42.41250451,-71.05842225,393,144
42.29916498,-71.07345872,259,101
42.29606705,-71.116012,442,95
42.2920896,-71.07841156,255,87
42.28072514,-71.08617242,343,87
42.28072815,-71.13423757,427,82
42.40328057,-71.0476264,395,79
42.31886468,-71.04536798,445,78
42.41034691,-71.05260458,394,78
42.36774122,-71.03335975,436,76
42.29167943,-71.05726346,410,75
42.2773889,-71.09325,353,72
42.27462067,-71.09372552,340,65
42.28277901,-71.15728851,433,61
42.28633199,-71.15344755,432,60
42.41427294,-71.04479656,392,58
42.29118035,-71.11773666,421,50
42.28621295,-71.07942931,347,43
42.27881158,-71.11687703,422,42
42.27748444,-71.16341468,434,40
42.28484472,-71.11874517,423,23
42.2771947,-71.06955614,430,21
42.27094707,-71.07337901,435,19
42.28198628,-71.07147925,431,6
